,Unnamed: 0,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
0,0,200.0,2020-09-17,1312.0,167.0,50.0,27.0,23.0,,1.0,,
1,1,219.0,2020-10-06,777.0,66.0,19.0,3.0,9.0,7.0,0.0,,
2,2,232.0,2020-10-19,829.0,81.0,14.0,3.0,,7.0,2.0,,
3,3,416.0,2021-04-21,1649.0,,74.0,30.0,44.0,0.0,,,
4,4,321.0,2021-01-16,2527.0,144.0,342.0,147.0,195.0,0.0,3.0,,
6,6,372.0,2021-03-08,1227.0,,102.0,27.0,75.0,0.0,,,
7,7,147.0,2020-07-26,1367.0,45.0,129.0,116.0,13.0,,4.0,,
8,8,320.0,2021-01-15,2286.0,152.0,218.0,69.0,149.0,0.0,10.0,,
9,9,197.0,2020-09-14,852.0,43.0,26.0,9.0,17.0,,0.0,,
10,10,218.0,2020-10-05,929.0,65.0,28.0,3.0,11.0,14.0,0.0,,
11,11,355.0,2021-02-19,2168.0,261.0,279.0,102.0,177.0,0.0,6.0,,
13,13,204.0,2020-09-21,997.0,198.0,24.0,15.0,9.0,,0.0,,
15,15,,2020-03-16,,,,,,,,,
18,18,363.0,2021-02-27,2210.0,,224.0,92.0,132.0,0.0,,,
19,19,205.0,2020-09-22,853.0,163.0,21.0,5.0,10.0,6.0,0.0,,
20,20,,2020-03-28,98.0,7.0,11.0,8.0,1.0,,,,
21,21,286.0,2020-12-12,,44.0,104.0,42.0,62.0,0.0,4.0,,
22,22,365.0,2021-03-01,1746.0,,212.0,,155.0,0.0,,,
23,23,240.0,2020-10-27,453.0,121.0,6.0,3.0,2.0,1.0,0.0,,
24,24,288.0,2020-12-14,1122.0,65.0,71.0,32.0,39.0,0.0,1.0,,
26,26,278.0,2020-12-04,1054.0,10.0,80.0,33.0,47.0,0.0,1.0,,
27,27,385.0,2021-03-21,1894.0,,140.0,44.0,96.0,0.0,,,
29,29,395.0,2021-03-31,1607.0,,87.0,45.0,42.0,0.0,,,
31,31,390.0,2021-03-26,1586.0,,99.0,34.0,65.0,0.0,,,
32,32,308.0,2021-01-03,1703.0,82.0,186.0,73.0,113.0,0.0,5.0,,
33,33,100.0,2020-06-09,1402.0,110.0,89.0,71.0,17.0,1.0,,12.0,
34,34,251.0,2020-11-07,968.0,28.0,17.0,,18.0,0.0,0.0,,
35,35,237.0,2020-10-24,937.0,79.0,18.0,6.0,12.0,0.0,0.0,,
37,37,185.0,2020-09-02,1187.0,22.0,88.0,42.0,45.0,1.0,8.0,,
38,38,266.0,2020-11-22,891.0,23.0,17.0,7.0,10.0,0.0,0.0,,
41,41,185.0,2020-09-02,1187.0,22.0,88.0,42.0,45.0,1.0,8.0,,
42,42,71.0,2020-05-11,917.0,65.0,177.0,169.0,8.0,,,8.0,
43,43,362.0,2021-02-26,2762.0,,290.0,103.0,187.0,0.0,,,
44,44,,2020-03-29,151.0,9.0,12.0,8.0,,,,,
45,45,,2020-04-02,127.0,10.0,5.0,3.0,,,,,
46,46,7.0,2020-04-17,287.0,4.0,7.0,5.0,2.0,,,,
47,47,276.0,2020-12-02,1053.0,30.0,66.0,29.0,37.0,0.0,1.0,,
48,48,261.0,2020-11-17,551.0,4.0,5.0,1.0,4.0,0.0,0.0,,
49,49,287.0,2020-12-13,,35.0,78.0,32.0,45.0,,0.0,,
51,51,275.0,2020-12-01,680.0,20.0,18.0,6.0,12.0,0.0,0.0,,
52,52,258.0,2020-11-14,1069.0,7.0,24.0,9.0,14.0,1.0,1.0,,
53,53,103.0,2020-06-13,1005.0,106.0,92.0,74.0,18.0,,,23.0,
54,54,334.0,2021-01-29,2102.0,166.0,184.0,64.0,120.0,0.0,3.0,,
55,55,265.0,2020-11-21,978.0,13.0,17.0,11.0,6.0,0.0,0.0,,
56,56,402.0,2021-04-07,867.0,,37.0,13.0,24.0,0.0,,,
57,57,373.0,2021-03-09,1028.0,,80.0,22.0,58.0,0.0,,,
58,58,130.0,2020-07-09,970.0,72.0,127.0,113.0,13.0,1.0,2.0,,
59,59,345.0,2021-02-09,1329.0,212.0,188.0,61.0,127.0,0.0,11.0,,
60,60,366.0,2021-03-02,1273.0,,100.0,,58.0,0.0,,,
61,61,285.0,2020-12-11,,65.0,127.0,64.0,63.0,0.0,2.0,,
62,62,6.0,2020-04-16,435.0,4.0,21.0,19.0,2.0,,,,
63,63,387.0,2021-03-23,732.0,,36.0,15.0,21.0,0.0,,,
64,64,,2020-04-03,,11.0,,5.0,,,,,
65,65,,2020-03-14,,,,,,,,,
66,66,,2020-12-10,,,,,,,,,
67,67,267.0,2020-11-23,684.0,28.0,15.0,4.0,11.0,0.0,0.0,,
68,68,389.0,2021-03-25,1571.0,,121.0,47.0,74.0,0.0,,,
70,70,,2020-03-12,,,,,,,,,
71,71,305.0,2020-12-31,1402.0,53.0,195.0,81.0,114.0,0.0,8.0,,
72,72,386.0,2021-03-22,1398.0,,87.0,30.0,57.0,0.0,,,
73,73,104.0,2020-06-13,1378.0,128.0,145.0,99.0,19.0,27.0,4.0,,
74,74,401.0,2021-04-06,793.0,,34.0,13.0,21.0,0.0,,,
75,75,99.0,2020-06-08,1010.0,111.0,99.0,88.0,9.0,2.0,,14.0,
76,76,264.0,2020-11-20,794.0,12.0,13.0,5.0,7.0,1.0,1.0,,
77,77,333.0,2021-01-28,2262.0,270.0,304.0,104.0,200.0,0.0,13.0,,
78,78,129.0,2020-07-08,788.0,174.0,110.0,87.0,23.0,,4.0,,
79,79,102.0,2020-06-11,1164.0,109.0,119.0,102.0,,,,20.0,
80,80,260.0,2020-11-16,608.0,5.0,8.0,2.0,4.0,2.0,1.0,,
81,81,73.0,2020-05-13,920.0,40.0,110.0,102.0,8.0,,0.0,,
82,82,246.0,2020-11-02,653.0,101.0,7.0,2.0,5.0,,0.0,,
83,83,259.0,2020-11-15,862.0,9.0,14.0,7.0,7.0,0.0,1.0,,
84,84,203.0,2020-09-20,1224.0,107.0,26.0,10.0,12.0,4.0,0.0,,
86,86,199.0,2020-09-16,1169.0,64.0,39.0,21.0,18.0,,1.0,,
87,87,415.0,2021-04-20,911.0,61.0,15.0,7.0,8.0,0.0,,,
88,88,231.0,2020-10-18,1156.0,58.0,26.0,7.0,16.0,3.0,0.0,,
89,89,58.0,2020-04-28,873.0,12.0,87.0,86.0,1.0,,,2.0,
90,90,322.0,2021-01-17,2239.0,172.0,290.0,118.0,172.0,0.0,6.0,,
91,91,145.0,2020-07-24,1602.0,121.0,156.0,122.0,34.0,,4.0,,
92,92,148.0,2020-07-27,1083.0,68.0,83.0,64.0,19.0,,3.0,,
93,93,388.0,2021-03-24,1906.0,,178.0,71.0,107.0,0.0,,,
94,94,306.0,2021-01-01,,121.0,224.0,88.0,136.0,0.0,0.0,,
95,95,,2021-01-14,1837.0,185.0,295.0,105.0,189.0,,7.0,,
96,96,302.0,2020-12-28,1194.0,95.0,119.0,45.0,74.0,0.0,2.0,,
97,97,217.0,2020-10-04,1181.0,54.0,26.0,8.0,17.0,1.0,0.0,,
98,98,198.0,2020-09-15,727.0,129.0,15.0,9.0,,1.0,1.0,,
100,100,239.0,2020-10-26,576.0,62.0,14.0,2.0,7.0,5.0,1.0,,
101,101,74.0,2020-05-14,992.0,60.0,84.0,73.0,11.0,,0.0,,
104,104,307.0,2021-01-02,1654.0,58.0,147.0,40.0,107.0,0.0,6.0,,
105,105,186.0,2020-09-03,1032.0,47.0,83.0,42.0,41.0,,0.0,,
106,106,238.0,2020-10-25,1017.0,93.0,8.0,,5.0,0.0,0.0,,
108,108,206.0,2020-09-23,1005.0,97.0,36.0,10.0,26.0,,1.0,,
109,109,361.0,2021-02-25,2547.0,,288.0,99.0,189.0,0.0,,,
110,110,72.0,2020-05-12,1099.0,27.0,109.0,107.0,2.0,,,9.0,
111,111,399.0,2021-04-04,1834.0,,71.0,22.0,49.0,0.0,,,
112,112,243.0,2020-10-30,805.0,72.0,12.0,4.0,8.0,,0.0,,
114,114,120.0,2020-06-29,956.0,50.0,112.0,99.0,13.0,,3.0,,
115,115,271.0,2020-11-27,921.0,11.0,21.0,11.0,10.0,0.0,1.0,,
116,116,140.0,2020-07-19,712.0,89.0,141.0,96.0,45.0,,4.0,,
117,117,383.0,2021-03-19,1655.0,,113.0,44.0,69.0,0.0,,,
118,118,,2020-03-17,,,,,,,,,
119,119,423.0,2021-04-28,1231.0,,56.0,18.0,38.0,0.0,,,
120,120,268.0,2020-11-24,524.0,1.0,11.0,5.0,6.0,0.0,1.0,,
121,121,397.0,2021-04-02,1823.0,,107.0,32.0,75.0,0.0,,,
122,122,354.0,2021-02-18,2128.0,,328.0,126.0,202.0,0.0,,,
123,123,108.0,2020-06-17,970.0,81.0,122.0,111.0,11.0,,3.0,,
124,124,414.0,2021-04-19,1221.0,,39.0,7.0,32.0,0.0,,,
125,125,68.0,2020-05-08,872.0,49.0,59.0,52.0,7.0,,,7.0,
127,127,105.0,2020-06-14,1223.0,116.0,94.0,79.0,14.0,1.0,,22.0,
128,128,250.0,2020-11-06,768.0,21.0,8.0,2.0,5.0,1.0,0.0,,
129,129,256.0,2020-11-12,713.0,0.0,9.0,1.0,8.0,0.0,0.0,,
130,130,391.0,2021-03-27,1842.0,,102.0,47.0,55.0,0.0,,,
133,133,384.0,2021-03-20,2214.0,,152.0,53.0,99.0,0.0,,,
134,134,394.0,2021-03-30,1073.0,,52.0,19.0,33.0,0.0,,,
135,135,289.0,2020-12-15,938.0,84.0,70.0,20.0,50.0,0.0,0.0,,
136,136,254.0,2020-11-10,597.0,17.0,9.0,0.0,7.0,2.0,0.0,,
137,137,279.0,2020-12-05,1224.0,24.0,100.0,29.0,71.0,0.0,1.0,,
138,138,76.0,2020-05-16,989.0,59.0,119.0,108.0,11.0,,,7.0,
139,139,357.0,2021-02-21,2348.0,227.0,297.0,146.0,151.0,0.0,13.0,,
141,141,151.0,2020-07-30,1547.0,70.0,145.0,116.0,29.0,,4.0,,
143,143,234.0,2020-10-21,1010.0,53.0,25.0,7.0,13.0,5.0,1.0,,
144,144,216.0,2020-10-03,1337.0,57.0,17.0,7.0,10.0,,0.0,,
145,145,195.0,2020-09-12,1093.0,28.0,44.0,26.0,17.0,1.0,2.0,,
146,146,318.0,2021-01-13,1709.0,119.0,198.0,62.0,186.0,,9.0,,
148,148,144.0,2020-07-23,1170.0,62.0,145.0,119.0,26.0,,0.0,,
150,150,235.0,2020-10-22,899.0,51.0,24.0,12.0,5.0,7.0,0.0,,
151,151,187.0,2020-09-04,1346.0,170.0,55.0,31.0,24.0,,2.0,,
152,152,194.0,2020-09-11,1261.0,143.0,43.0,22.0,17.0,4.0,0.0,,
153,153,310.0,2021-01-05,,75.0,161.0,45.0,116.0,0.0,4.0,,
154,154,315.0,2021-01-10,1781.0,90.0,245.0,101.0,144.0,0.0,6.0,,
155,155,382.0,2021-03-18,1889.0,,174.0,68.0,106.0,0.0,,,
156,156,141.0,2020-07-20,639.0,54.0,188.0,97.0,41.0,,8.0,,
157,157,311.0,2021-01-06,1540.0,92.0,192.0,47.0,144.0,,5.0,,
158,158,190.0,2020-09-07,1052.0,115.0,27.0,17.0,,,1.0,,
159,159,210.0,2020-09-27,,85.0,40.0,10.0,29.0,1.0,2.0,,
160,160,406.0,2021-04-11,1810.0,,67.0,23.0,44.0,0.0,,,
161,161,207.0,2020-09-24,1055.0,100.0,21.0,8.0,12.0,1.0,1.0,,
162,162,196.0,2020-09-13,1206.0,147.0,43.0,16.0,25.0,2.0,2.0,,
163,163,215.0,2020-10-02,1218.0,156.0,32.0,5.0,23.0,4.0,1.0,,
164,164,233.0,2020-10-20,816.0,87.0,27.0,0.0,9.0,18.0,1.0,,
165,165,317.0,2021-01-12,1062.0,145.0,152.0,50.0,102.0,0.0,11.0,,
166,166,143.0,2020-07-22,1244.0,64.0,136.0,101.0,38.0,,3.0,,
167,167,280.0,2020-12-06,925.0,45.0,80.0,34.0,46.0,0.0,1.0,,
168,168,290.0,2020-12-16,1279.0,106.0,120.0,35.0,85.0,0.0,2.0,,
169,169,249.0,2020-11-05,740.0,28.0,18.0,10.0,8.0,,0.0,,
170,170,359.0,2021-02-23,1633.0,266.0,143.0,49.0,94.0,0.0,18.0,,
171,171,209.0,2020-09-26,1141.0,118.0,30.0,9.0,18.0,3.0,,15.0,
172,172,405.0,2021-04-10,1515.0,,57.0,19.0,38.0,0.0,,,
173,173,208.0,2020-09-25,1170.0,92.0,23.0,7.0,15.0,1.0,0.0,,
174,174,213.0,2020-09-30,,102.0,37.0,15.0,22.0,,1.0,,
176,176,193.0,2020-09-10,933.0,31.0,48.0,27.0,20.0,1.0,0.0,,
177,177,188.0,2020-09-05,1313.0,128.0,67.0,27.0,40.0,,,39.0,
179,179,236.0,2020-10-23,1379.0,56.0,17.0,7.0,6.0,4.0,0.0,,
181,181,316.0,2021-01-11,1927.0,139.0,288.0,114.0,174.0,0.0,4.0,,
182,182,309.0,2021-01-04,1293.0,100.0,106.0,37.0,69.0,0.0,3.0,,
184,184,142.0,2020-07-21,369.0,42.0,37.0,27.0,9.0,1.0,4.0,,
185,185,312.0,2021-01-07,1775.0,103.0,220.0,86.0,164.0,0.0,5.0,,
186,186,247.0,2020-11-03,400.0,90.0,3.0,0.0,8.0,,1.0,,
187,187,189.0,2020-09-06,1166.0,71.0,39.0,15.0,24.0,,0.0,,
188,188,244.0,2020-10-31,954.0,121.0,11.0,3.0,8.0,,1.0,,
189,189,119.0,2020-06-28,1179.0,36.0,127.0,104.0,21.0,2.0,3.0,,
190,190,89.0,2020-05-29,1236.0,52.0,81.0,66.0,13.0,2.0,,20.0,
191,191,139.0,2020-07-18,790.0,50.0,125.0,76.0,49.0,,3.0,,
192,192,270.0,2020-11-26,959.0,18.0,33.0,14.0,19.0,0.0,0.0,,
193,193,424.0,2021-04-29,1309.0,,46.0,17.0,29.0,0.0,,,
194,194,398.0,2021-04-03,1635.0,,64.0,21.0,43.0,0.0,,,
195,195,274.0,2020-11-30,722.0,10.0,14.0,5.0,9.0,0.0,0.0,,
196,196,269.0,2020-11-25,748.0,13.0,19.0,11.0,8.0,0.0,0.0,,
197,197,303.0,2020-12-29,984.0,65.0,78.0,26.0,52.0,0.0,0.0,,
198,198,88.0,2020-05-28,991.0,100.0,95.0,86.0,9.0,,,19.0,
199,199,400.0,2021-04-05,1421.0,,69.0,29.0,40.0,0.0,,,
200,200,59.0,2020-04-29,800.0,19.0,59.0,51.0,8.0,,,2.0,
201,201,257.0,2020-11-13,649.0,14.0,11.0,,8.0,0.0,0.0,,
202,202,281.0,2020-12-07,1231.0,30.0,76.0,31.0,44.0,1.0,2.0,,
